ID,Nome da receita,Pais,Imagem,Ingrediente01,quantidadeIngrediente01,Ingrediente02,quantidadeIngrediente02,Ingrediente03,quantidadeIngrediente03,Ingrediente04,quantidadeIngrediente04,Ingrediente05,quantidadeIngrediente05,Modo de preparo,Descrição
brasil-feijoada,Feijoada da Torcida,Brasil,,Feijão,3,Carne,2,Cebola,1,Arroz,1,,,Refogue a cebola com a carne até dourar. | Junte o feijão cozido e deixe encorpar. | Sirva com arroz quente e finalize como prato de arquibancada.,
,,África do Sul,,,,,,,,,,,,,
alemanha-chucrute,Chucrute,Alemanha,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2024/j/R/1eLztASqW1gkFfpWAL0g/chucrute.jpg,Repolho branco,3,Zimbros,2,Sal,2,Vinagre,1,,,,"O chucrute é um dos acompanhamentos mais tradicionais da culinária alemã, feito a partir da fermentação do repolho. Com sabor ácido e textura macia, costuma ser servido com salsichas, carnes suínas e batatas"
arabia-saudita-hrise-de-carne,Hrise de Carne,Arábia Saudita,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2023/X/9/kBOrGpTzufYz3KkGelvQ/hrise-de-carne-com-fattoush-do-kaysar-dadour-copiar.jpg,Carne,3,Trigo,2,Cebola,1,Manteiga,2,,,,"Conhecido também como harisa ou harise, o Hrise de carne é muito comum em países árabes, como Síria, Líbano, Iraque e Arábia Saudita. À base de carne moída e trigo, a refeição é ótima para o almoço combinada com uma salada. "
, ,Argélia,,,,,,,,,,,,,
argentina-revuelto-de-gramajo,Revuelto de gramajo,Argentina,https://s2-receitas.glbimg.com/F5pcBuR-3pYEM4f0JHr8r6SlTJs=/0x0:4032x3024/1000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2021/H/s/AcErcYQUy2a0vjUOySQQ/img-7131.jpg,Ovo,4,Batata,3,Linguiça,3,Cebola,1,,,,"Servida tanto como aperitivo ou prato principal, o Revuelto de gramajo é uma receita bem comum na Argentina, além simples e fácil de se adaptar. Composto por batatas fritas em juliana, ovo e linguiça, também pode levar qualquer tipo de carne e outros ingredientes da preferência do cozinheiro.  "
australia-caramel-slice,Caramel slice,Austrália,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2022/p/B/A9rdaARLiI9dUvX1RMvQ/7t9a4336.jpg,Chocolate ,3,Caramelo,3,Açúcar mascavo,2,Coco ralado,1,,,,"Caramel slice é uma sobremesa popular na Austrália, com recheio de caramelo e cobertura de chocolate. Porém, o diferencial está em sua massa, que leva açúcar mascavo, coco ralado, farinha e manteiga;"
austria-linzer-torte,Linzer Torte,Áustria,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2022/P/N/DVsmqIQ0qA6Y2kVYxBbA/7t9a2339.jpg,Manteiga,2,Avelã,2,Amêndoa,2,Ovo,2,,,,"Considerada como uma das tortas mais antigas do mundo, a Linzer torte é uma sobremesa típica do Natal austríaco. A receita se destaca pela sua massa amanteigada que leva farinhas de avelã e amêndoa. O recheio pode variar, levando qualquer tipo de fruta."
belgica-waffle-de-liege,Waffle de liège,Bélgica,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/s/C/yslRaxSD2GjEvGLieLTQ/waffle-de-liege-com-doce-de-leite.jpg,Leite,3,Farinha,3,Ovo,2,Manteiga,2,,,,"O Waffle de Liège é uma clássica receita belga. Crocante por fora, macio e amanteigado por dentro, tem como segredo para ficar caramelizado as pérolas ou cristais de açúcar colocados na massa antes de serem tostados   "
,,Bósnia e Herzegovina,,,,,,,,,,,,,
cabo-verde-arroz-jollof,Arroz jollof,Cabo Verde,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2025/U/A/3sWIjvRVqIiA5pAW3t1Q/arroz-jollof.jpg,Arroz,3,Tomate,2,Carne,2,Cebola,1,,,,"O Arroz jollof é servido com frequência em datas comemorativas nos países da denominada África Ocidental, como Benim, Nigéria, Gana, Senegal e Cabo Verde. Conhecido pela sua corte avermelhada, o arroz é cozido no forno e pode levar diferentes tipos de carnes e peixes."
catar-saloona,Saloona,Catar,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2022/u/e/eLSDgrTw2OMIEcimmCqg/saloona-catar.jpg,Carne,3,Tomate,2,Batata,2,Gengibre,1,,,,"Tradicional na culinária do Catar, o Saloon costuma ser servido em jantares de família do país. Trata-se de um cozido que pode ser feito a partir de carnes variadas, como cordeiro ou carne bovina. A receita também conta com alguns legumes, como cenoura, berinjela e tomates, e outras especiarias, como gengibre."
colombia-arepa-salgada,Arepa salgada,Colômbia,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2023/4/w/3VkUzDRVOBsERlgRWIAA/arepa-salgada.webp,Farinha de milho,3,Água,2,Sal,1,,,,,,"A Arepa salgada é um tipo de pão nativo da Venezuela que lembra uma tortilla, feito a partir de uma massa de farinha de milho pré-cozida. A arepa pode ser frita ou cozida e é servida com o recheio a partir da sua preferência, como queijo ou carne. "
,,Costa do Marfim,,,,,,,,,,,,,
,,Croácia,,,,,,,,,,,,,
,,Curaçao,,,,,,,,,,,,,
egito-arroz-egipcio,Arroz egípcio,Egito,https://s2-receitas.glbimg.com/pZbhZUu7GZR3BTy0dqz2vcEzNqE=/0x0:795x443/1360x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2021/O/m/EjEkuTTgmADHHw3yr6tw/bolachinhas.jpg,Chufas,3,Tâmaras,2,Água,1,Mel,1,,,,"A bolacha egípcia, também conhecida como bolacha shayat, é uma sobremesa milenar do Antigo Egito. Servida com chás e cafés, o diferencial desta receita está na sua massa, que conta com tâmaras e chufas - um tubérculo de pequena dimensão muito semelhante ao grão de bico."
equador-bolon-verde,Bolon verde,Equador,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/Z/X/456opxRs6rARUj5dMDMg/equador-114-of-198-.jpg,Banana-da-terra,4,Queijo,3,Manteiga,2,Pimenta-do-reino,1,,,,"O Bolon verde é uma bolinho bem comum nos cafés da manhã do Equador. Feito da massa de banana-da-terra verde cozida, a receita ganha um toque especial com recheio de queijo. Além de sal, o prato também leva outras especiarias, como pimenta-do-reino e cominho. O aperitivo pode ser servido também como acompanhamento de outras refeições."
escocia-oat-cakes,Oat cakes,Escócia,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/z/c/mXhu0BRC6kSKGKWTpDBA/oatcakes-biscoitos-de-aveia1.jpg,Aveia,3,Farinha de trigo,2,Açúcar mascavo,1,Leite,1,,,,"Oatcakes, também conhecidos como biscoitos de aveia, é uma receita prática e deliciosa. De origem escocesa, o biscoito é saudável, graças ao uso da aveia, grão que possui muitas fibras que ajudam no processo de digestão. Além de ser boa para a pele e prevenir doenças."
espanha-tortilla-espanhola,Tortilla espanhola,Espanha,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2021/3/y/j1fu5iR2aiS3Q3VisoZg/tortilla-espanhola.jpg,Ovo,4,Batata,3,Cebola,2,Sal,1,,,,"A receita de Tortilla é diferente dependendo do país. Na Espanha, onde também é chamada de tortilla de patatas, ela é preparada com um omelete, porém, com uma massa um pouco mais grossa. Além disso, trata-se de uma receita simples e que leva poucos ingredientes: ovo, batata, sal, cebola e azeite."
franca-croque-monsieur,Croque-monsieur,Fraça,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2025/7/g/Lr5570R2OwO6jekwnhNA/captura-de-tela-2025-05-20-111400.png,Pão,4,Queijo,3,Presunto,2,Ovo,1,,,,"O Croque-monsieur é um clássico sanduíche francês. Seu nome vem do verbo francês croquer, que significa “morder” ou “mastigar com barulho”, e monsieur significa “senhor”. Ou seja, algo como “o sanduíche do senhor”, que faz croque. Crocante por fora e cremoso por dentro, sua receita leva bastante queijo derretido e presunto."
,,Gana,,,,,,,,,,,,,
,,Haiti,,,,,,,,,,,,,
holanda-oliebollen,Oliebollen,Holanda,https://i.s3.glbimg.com/v1/AUTH_1f540e0b94d8437dbbc39d567a1dee68/internal_photos/bs/2023/K/4/vAwEBBTkifIf7dC2Vbmw/oliebollen.jpg,Farinha de trigo,4,Maçã,3,Suco de limão,2,Leite,2,,,,"O Oliebollen é uma receita típica da Holanda, muito comum em comemorações de ano novo. Como uma espécie de bolinho de chuva holandês, seu diferencial está no uso da maçã e do suco de limão em sua receita."
